# Russell 1000 Ishares ETF (IWB) downloaded from https://www.barchart.com/stocks/quotes/IWB on 2020/10/29
Symbol,Name,Sector,Industry,Exchange,Options,"Market Cap [K$]",Volume,Price,Earnings,Price/Earnings,Dividend
BERY,"Berry Global Group","Industrial Products","Containers - Paper Products",NYSE,Yes,6140706,868500,46.31,4.17,11.31,N/A
BF.A,"Brown Forman Inc Cl A","Consumer Staples","Beverages - Alcohol",NYSE,Yes,30305084,49900,63.34,1.74,37.79,0.174
BFAM,"Bright Horizons Family Solutions Inc","Consumer Discretionary",Schools,NYSE,Yes,9523479,380300,157.65,2.81,56.94,N/A
BF.B,"Brown Forman Inc Cl B","Consumer Staples","Beverages - Alcohol",NYSE,Yes,33314540,853800,69.63,1.74,41.55,0.174
BG,"Bunge Ltd","Basic Materials","Agriculture Products",NYSE,Yes,8107673,4133300,58.06,5.22,10.67,0.500
BHF,"Brighthouse Financial Inc",Finance,"Insurance - Life",NASDAQ,Yes,2799993,1105300,30.10,7.80,3.80,N/A
BIGC,"Bigcommerce Holdings Inc",Retail-Wholesale,"Internet Commerce",NASDAQ,Yes,5385455,819200,79.65,-0.54,0.00,N/A
BIIB,"Biogen Inc",Medical,"Medical - Biomedical",NASDAQ,Yes,37587216,1647700,244.26,36.58,6.98,N/A
BILL,"Bill.com Holdings Inc","Computers and Technology","Internet - Software",NYSE,Yes,8804167,632600,108.68,-0.35,0.00,N/A
BIO,"Bio-Rad Laboratories",Medical,"Medical Products",NYSE,Yes,16603649,184900,559.46,7.45,79.13,N/A
BK,"Bank of New York Mellon Corp",Finance,"Banks - Major Regional",NYSE,Yes,30190178,8743700,34.08,4.05,8.78,0.310
BKI,"Black Knight Inc","Business Services","Business Information",NYSE,Yes,13809218,587700,87.94,1.79,50.29,N/A
BKNG,"Booking Holdings Inc",Retail-Wholesale,"Internet Commerce",NASDAQ,Yes,65725196,420800,1605.05,61.62,27.55,N/A
BKR,"Baker Hughes A Ge CO Cl A",Oils-Energy,"Oil - Field Services",NYSE,Yes,14162416,9975300,13.70,0.37,38.30,0.180
BLI,"Berkeley Lights Inc",Medical,"Medical - Biomedical",NASDAQ,Yes,4975310,81300,78.06,-4.25,0.00,N/A
BLK,Blackrock,Finance,"Finance - Investment Mgmt",NYSE,Yes,91598656,645600,600.71,32.01,19.20,3.630
BLL,"Ball Corp","Industrial Products","Containers - Metal & Glass",NYSE,Yes,28976290,2148600,88.73,2.67,34.12,0.150
BLUE,"Bluebird Bio",Medical,"Medical - Biomedical",NASDAQ,Yes,3476045,502000,52.49,-11.77,0.00,N/A
BMRN,"Biomarin Pharmaceuticals",Medical,"Medical - Biomedical",NASDAQ,Yes,13490626,1520700,74.39,0.76,100.24,N/A
BMY,"Bristol-Myers Squibb Company",Medical,"Medical - Biomedical",NYSE,Yes,130692968,11931101,57.76,5.74,10.23,0.450
BOH,"Bank of Hawaii Corp",Finance,"Banks - West",NYSE,Yes,2327647,650500,58.12,4.59,13.99,0.670
BOKF,"Bok Financial Corp",Finance,"Banks - Southwest",NASDAQ,Yes,4011717,289100,57.06,5.55,10.48,0.510
BPOP,"Popular Inc",Finance,"Banks - Southeast",NASDAQ,Yes,3386366,1213000,40.21,5.28,7.44,0.400
BPYU,"Brookfield Property REIT Inc",Finance,"REIT - Equity Trust Retail",NASDAQ,Yes,813612,480100,14.73,0.27,0.00,0.333
BR,"Broadridge Financial Solutions Llc","Business Services",Outsourcing,NYSE,Yes,15602148,617700,135.48,5.03,27.83,0.575
BRK.B,"Berkshire Hathaway Cl B",Finance,"Insurance - Proprty & Casualty",NYSE,Yes,479314944,7538200,200.70,9.71,21.31,N/A
BRKR,"Bruker Corp","Computers and Technology","Industrial Scientific",NASDAQ,Yes,6313226,410800,41.24,1.31,32.59,0.040
BRO,"Brown & Brown",Finance,"Insurance - Brokers",NYSE,Yes,12491894,1168400,44.17,1.52,27.41,0.085
BRX,"Brixmor Property Group Inc",Finance,"REIT - Equity Trust Retail",NYSE,Yes,3210889,2597000,10.83,0.71,6.41,0.285
BSX,"Boston Scientific Corp",Medical,"Medical Products",NYSE,Yes,48743100,17957500,34.07,1.21,29.79,N/A
BURL,"Burlington Stores Inc",Retail-Wholesale,"Retail - Discount",NYSE,Yes,12903965,569700,195.03,-0.52,0.00,N/A
BWA,"Borgwarner Inc",Auto-Tires-Trucks,"Auto - Truck Original Parts",NYSE,Yes,7595859,2871700,36.65,2.76,13.60,0.170
BWXT,"Bwx Technologies Inc","Computers and Technology","Electronics - Misc Components",NYSE,Yes,5118926,456400,53.72,3.00,18.67,0.190
BXP,"Boston Properties",Finance,"REIT - Equity Trust Other",NYSE,Yes,11073360,2042600,71.15,6.52,10.86,0.980
BYND,"Beyond Meat Inc","Consumer Staples","Food - Meat Products",NASDAQ,Yes,9744541,2426500,156.05,0.06,2699.17,N/A
C,"Citigroup Inc",Finance,"Banks - Major Regional",NYSE,Yes,85627112,27485000,41.13,4.86,8.62,0.510
CABO,"Cable One Inc","Consumer Discretionary","Cable TV",NYSE,No,10364350,42900,1721.57,40.31,43.50,2.500
CACC,"Credit Acceptance",Finance,"Finance - Consumer Loans",NASDAQ,Yes,5530491,189900,313.36,36.40,8.92,N/A
CACI,"Caci International","Computers and Technology","Computer - Services",NYSE,Yes,4993948,192600,198.97,12.61,16.05,N/A
CAG,"Conagra Brands Inc","Consumer Staples","Food - Misc & Diversified",NYSE,Yes,17518256,2728000,35.86,2.55,14.49,0.275
