# S&P 500 Index ($SPX) downloaded from https://www.barchart.com/stocks/quotes/$SPX on 2020/10/29
Symbol,Name,Sector,Industry,Exchange,Options,"Market Cap [$K]",Volume,Price,Earnings,Price/Earnings,Dividend
LRCX,"Lam Research Corp","Computers and Technology","Semi-Eqpt Wafer Fabrication",NASDAQ,Yes,49170320,1639200,338.90,18.44,18.65,1.300
LUMN,Centurylink,Utilities,"Wireless National",NYSE,Yes,9559556,12436601,8.71,1.43,6.27,0.250
LUV,"Southwest Airlines Company",Transportation,"Transportation - Airline",NYSE,Yes,22497718,12101000,38.14,-3.83,0.00,0.180
LVS,"Las Vegas Sands","Consumer Discretionary",Gaming,NYSE,Yes,35792980,5942700,46.86,-0.87,0.00,0.790
LW,"Lamb Weston Holdings Inc","Consumer Staples","Food - Misc & Diversified",NYSE,Yes,9264722,1089600,63.31,2.32,28.55,0.230
LYB,"Lyondellbasell Industries NV","Basic Materials","Chemical - Diversified",NYSE,Yes,23145058,2630000,69.33,6.84,10.73,1.050
LYV,"Live Nation Entertainment","Consumer Discretionary","Leisure & Recreation Services",NYSE,Yes,10732398,3433400,49.40,-3.78,0.00,N/A
MA,"Mastercard Inc","Business Services","Financial Transaction Services",NYSE,Yes,291689152,11518200,291.38,7.30,43.44,0.400
MAA,"Mid-America Apartment Communities",Finance,"REIT - Equity Trust Resident",NYSE,Yes,12858056,703400,112.43,2.99,17.89,1.000
MAR,"Marriot Int Cl A","Consumer Discretionary","Hotels & Motels",NASDAQ,Yes,29178620,4302400,89.97,2.66,35.14,0.480
MAS,"Masco Corp",Construction,"Building & Construction - Misc",NYSE,Yes,14062576,3158600,53.77,2.52,21.26,0.140
MCD,"McDonald's Corp",Retail-Wholesale,"Retail - Restaurants",NYSE,Yes,159751488,3273000,214.69,6.21,35.90,1.250
MCHP,"Microchip Technology","Computers and Technology","Semi Analog & Mixed",NASDAQ,Yes,25886428,2119900,102.54,5.20,20.76,0.368
MCK,"Mckesson Corp",Medical,"Medical - Dental Suppliers",NYSE,Yes,23371580,920000,144.10,14.45,10.33,0.420
MCO,"Moody's Corp",Finance,"Finance - Misc Services",NYSE,Yes,49151120,895000,261.86,9.69,27.47,0.560
MDLZ,"Mondelez Intl Inc","Consumer Staples","Food - Misc & Diversified",NASDAQ,Yes,75916168,6288900,53.15,2.57,21.40,0.315
MDT,"Medtronic Inc",Medical,"Medical Products",NYSE,Yes,137903008,7090000,102.59,3.95,26.64,0.580
MET,"Metlife Inc",Finance,"Insurance - Multi Line",NYSE,Yes,33220428,6959900,36.60,5.66,6.67,0.460
MGM,"MGM Resorts International","Consumer Discretionary",Gaming,NYSE,Yes,9914948,18868600,20.10,-1.58,0.00,0.002
MHK,"Mohawk Industries","Consumer Discretionary","Textile - Home Furnishings",NYSE,Yes,6564890,512900,92.21,7.03,13.84,0.018
MKC,"Mccormick & Company Inc","Consumer Staples","Food - Misc & Diversified",NYSE,Yes,24770608,453900,185.67,5.69,33.78,0.620
MKTX,"Marketaxess Holdings",Finance,"Securities Exchanges",NASDAQ,Yes,21151164,298200,557.02,6.90,78.93,0.600
MLM,"Martin Marietta Materials",Construction,"Building - CMT & CNT & AG",NYSE,Yes,15408464,553800,247.45,9.95,25.68,0.570
MMC,"Marsh & Mclennan Companies",Finance,"Insurance - Brokers",NYSE,Yes,54467060,2524300,107.53,4.92,22.44,0.465
MMM,"3M Company",Conglomerates,"Conglomerates - Div Operations",NYSE,Yes,91316288,3065100,158.53,8.47,19.35,1.470
